address,category,OT,MT,% OTf,% MTf,OT duration,MT duration
0x014B50466590340D41307Cc54DCee990c8D58aa8,[B6],OK,OK,20.97,17.65,16.43s,15.36s
0x0b76544F6C413a555F309Bf76260d1E02377c02A,[A2][A4][A6][B1][B7],OK,OK,61.29,64.71,7.22s,4.66s
0x0bb217E40F8a5Cb79Adf04E1aAb60E5abd0dfC1e,[A2][A6][B1][B7],OK,OK,16.13,14.71,17.91s,14.79s
0x123aB195DD38B1b40510d467a6a359b201af056f,[A7],OK,OK,12.9,14.71,19.61s,16.58s
0x13f25cd52b21650caa8225C9942337d914C9B030,[B1][B7],OK,OK,35.48,32.35,17.08s,13.56s
0x177d39AC676ED1C67A2b268AD7F1E58826E5B0af,[B1][B2][B3],OK,OK,11.29,11.76,19.89s,16.81s
0x17fD666fa0784885fa1AFEc8AC624d9b7e72B752,[B1][B7],OK,OK,38.71,35.29,18.08s,15.63s
0x1844b21593262668B7248d0f57a220CaaBA46ab9,[B1],OK,OK,32.26,32.35,18.77s,16.30s
0x1e797Ce986C3CFF4472F7D38d5C4aba55DfEFE40,[A2],OK,OK,66.13,58.82,13.33s,4.49s
0x219218f117DC9348b358b8471c55A073E5e0dA0b,[A2][B1][B7],OK,OK,35.48,32.35,21.54s,18.10s
0x24A77c1F17C547105E14813e517be06b0040aa76,[B1][B2][B3],OK,OK,12.9,14.71,17.43s,15.17s
0x2567c677473d110D75a8360C35309e63B1d52429,[B1][B7],OK,OK,35.48,32.35,16.53s,15.29s
0x2604FA406Be957E542BEb89E6754fCdE6815e83f,[A8],OK,OK,4.84,5.88,18.37s,14.75s
0x26D5Bd2dfEDa983ECD6c39899e69DAE6431Dffbb,[B1][B7],OK,OK,35.48,32.35,16.44s,15.03s
0x27f706edde3aD952EF647Dd67E24e38CD0803DD6,[A10],OK,OK,51.61,52.94,15.03s,4.93s
0x28c8d01FF633eA9Cd8fc6a451D7457889E698de6,[B5],OK,OK,11.29,11.76,17.67s,14.46s
0x2A05d22DB079BC40C2f77a1d1fF703a56E631cc1,[A2][A6][B1][B7],OK,OK,14.52,11.76,18.66s,14.68s
0x2Ef27BF41236bD859a95209e17a43Fbd26851f92,[A14],OK,OK,85.48,94.12,28.25s,18.62s
0x2bDC0D42996017fCe214b21607a515DA41A9E0C5,[B1][B2][B3],OK,OK,12.9,14.71,17.38s,14.86s
0x2f85E502a988AF76f7ee6D83b7db8d6c0A823bf9,[B1],OK,OK,69.35,58.82,6.74s,5.58s
0x336F646F87D9f6bC6Ed42Dd46E8b3fD9DbD15C22,[B1][B2][B3],OK,OK,22.58,14.71,17.59s,14.98s
0x3543638eD4a9006E4840B105944271Bcea15605D,[B1][B7],OK,OK,35.48,32.35,17.41s,15.06s
0x355a458d555151D3B27F94227960Ade1504E526a,[B1],OK,OK,35.48,32.35,17.52s,15.55s
0x3893b9422Cd5D70a81eDeFfe3d5A1c6A978310BB,[B1][B2],OK,OK,64.52,64.71,15.02s,5.54s
0x38c6A68304cdEfb9BEc48BbFaABA5C5B47818bb2,[B1][B2][B3][B4][B5][B6],OK,OK,12.9,14.71,18.53s,14.89s
0x422866a8F0b032c5cf1DfBDEf31A20F4509562b0,[B1][B2][B3],OK,OK,12.9,14.71,19.32s,16.75s
0x4270bb238f6DD8B1c3ca01f96CA65b2647c06D3C,[B1],OK,OK,35.48,32.35,18.13s,15.79s
0x4355fC160f74328f9b383dF2EC589bB3dFd82Ba0,[B1][B2][B3],OK,OK,19.35,17.65,16.32s,16.44s
0x449574C69f3A658794829eD81639A7A9ECe041E1,[B5],OK,OK,12.9,14.71,18.12s,14.71s
0x461733c17b0755CA5649B6DB08B3E213FCf22546,[A15][A16],OK,OK,14.52,14.71,22.22s,19.72s
0x46b9Ad944d1059450Da1163511069C718F699D31,[B1],OK,OK,61.29,64.71,8.64s,5.37s
0x48DF4E0296f908CEAb0428A5182D19B31fC037d6,[B1][B7],OK,OK,35.48,32.35,16.53s,14.69s
0x4DC3643DbC642b72C158E7F3d2ff232df61cb6CE,[A2],OK,OK,12.9,14.71,17.90s,15.04s
0x4DF47B4969B2911C966506E3592c41389493953b,[B7],OK,OK,85.48,88.24,1.77s,1.99s
0x4aF328C52921706dCB739F25786210499169AFe6,[B1][B7],OK,OK,35.48,32.35,18.74s,15.41s
0x4f3AfEC4E5a3F2A6a1A411DEF7D7dFe50eE057bF,[B7],OK,OK,87.1,97.06,4.26s,4.17s
0x5046E860ff274fb8c66106B0Ffb8155849fB0787,[A8],OK,OK,35.48,35.29,17.19s,14.83s
0x5121E348e897dAEf1Eef23959Ab290e5557CF274,[A6][B1][B7],OK,OK,17.74,14.71,17.32s,15.34s
0x5136C98A80811C3f46bDda8B5c4555CFd9f812F0,[A19],OK,OK,20.97,17.65,20.24s,17.64s
0x52DB8ebF894036ec997Da693C5fa237A4fb69d10,[B1][B7],OK,OK,35.48,32.35,16.84s,14.71s
0x55296f69f40Ea6d20E478533C15A6B08B654E758,[B1],OK,OK,35.48,32.35,16.92s,15.35s
0x55F93985431Fc9304077687a35A1BA103dC1e081,[A12][A13][A16][A3],OK,OK,62.9,67.65,3.41s,5.38s
0x56ba2Ee7890461f463F7be02aAC3099f6d5811A8,[B1][B2][B3],OK,OK,12.9,14.71,17.73s,15.90s
0x59061b6f26BB4A9cE5828A19d35CFD5A4B80F056,[A2][B2],OK,OK,93.55,91.18,1.99s,1.75s
0x5E6b6d9aBAd9093fdc861Ea1600eBa1b355Cd940,[B1][B7],OK,OK,35.48,32.35,15.88s,14.05s
0x622dFfCc4e83C64ba959530A5a5580687a57581b,[B1][B3][B7],OK,NOK,3.23,0.0,23.83s,20.39s
0x62a56a4A2Ef4D355D34D10fBF837e747504d38d4,[B5],OK,OK,11.29,11.76,16.16s,14.30s
0x679BADc551626e01B23CeecEFBc9B877EA18fc46,[B1][B7],OK,OK,35.48,32.35,16.01s,14.70s
0x6Aac8CB9861E42bf8259F5AbDC6aE3Ae89909E11,[A5],OK,OK,35.48,35.29,16.84s,14.56s
0x6aEB95F06CDA84cA345c2dE0F3B7f96923a44f4c,[A16],OK,OK,4.84,5.88,18.55s,15.74s
0x6cCB56947eA1d6eFdc81ACfbAcd8263DDFa9b202,[B1][B2][B3],OK,OK,70.97,61.76,7.91s,4.62s
0x6ea6531b603F270d23d9EDd2d8279135DC5D6773,[B7],OK,OK,14.52,11.76,17.43s,15.58s
0x7703C35CfFdC5CDa8D27aa3df2F9ba6964544b6e,[A2][A6][B1],OK,OK,62.9,52.94,15.71s,6.10s
0x78B7FADA55A64dD895D8c8c35779DD8b67fA8a05,[B1][B2][B3],OK,OK,12.9,14.71,16.44s,14.82s
0x79650799e7899A802cB96C0Bc33a6a8d4CE4936C,[B1][B7],OK,OK,35.48,32.35,16.36s,14.43s
0x7C5A0CE9267ED19B22F8cae653F198e3E8daf098,[A2],OK,OK,35.48,35.29,17.78s,15.64s
0x80fB784B7eD66730e8b1DBd9820aFD29931aab03,[A9],OK,OK,37.1,38.24,18.53s,15.33s
0x81b4D08645DA11374a03749AB170836E4e539767,[B1][B2][B3],OK,OK,43.55,44.12,15.69s,13.71s
0x82b0E50478eeaFde392D45D1259Ed1071B6fDa81,[B1][B2][B3],OK,OK,12.9,14.71,17.27s,14.73s
0x8542325B72C6D9fC0aD2Ca965A78435413a915A0,[B1],OK,OK,32.26,32.35,17.25s,15.54s
0x86949Dc8043A5fD7619A1289d65964aD5ec3D25c,[B1][B7],OK,OK,8.06,5.88,16.83s,15.06s
0x8727c112C712c4a03371AC87a74dD6aB104Af768,[B1][B2][B3],OK,OK,11.29,11.76,17.60s,14.33s
0x88d50B466BE55222019D71F9E8fAe17f5f45FCA1,[A2][B1][B2][B3],OK,OK,12.9,14.71,17.56s,14.60s
0x8A99ED8a1b204903Ee46e733f2c1286F6d20b177,[A6][B1][B7],OK,OK,14.52,11.76,17.90s,15.02s
0x8eFFd494eB698cc399AF6231fCcd39E08fd20B15,[B4],OK,OK,35.48,35.29,18.38s,16.94s
0x8f3470A7388c05eE4e7AF3d01D8C722b0FF52374,[B5][B6],OK,OK,12.9,14.71,14.84s,14.41s
0x93E682107d1E9defB0b5ee701C71707a4B2E46Bc,[B1][B7],OK,OK,8.06,5.88,17.23s,15.11s
0x9653cFd0865ad8313BEA2f0C2EC0584BFd05115B,[A10][A2],OK,OK,48.39,50.0,14.60s,4.94s
0x96c833E43488C986676e9F6B3b8781812629bbb5,[A1],OK,OK,37.1,38.24,16.72s,14.45s
